true_label,predicted,prob_noncompliant
0,0,0.0024859786
0,0,0.0007229663
0,0,0.03447321
0,0,0.039442502
0,0,0.00016142754
0,0,8.131637e-05
0,1,0.54239386
0,0,9.4231844e-05
1,1,0.9969187
1,1,0.99833435
0,0,0.0034132977
0,0,0.17074436
1,1,0.9995029
0,0,0.22718851
0,0,0.0011836382
0,0,3.2647455e-05
0,0,0.24998288
0,0,0.00802344
0,0,1.979131e-06
0,0,4.0199297e-06
0,0,1.9403853e-05
0,0,5.4988523e-06
0,0,0.2500016
0,0,7.740893e-06
0,0,2.4429315e-05
0,0,0.001921301
0,0,1.49240705e-05
0,0,1.5557598e-05
0,0,0.023459196
0,0,0.00014306535
0,0,0.009618487
0,0,0.0006365342
0,0,6.4598516e-06
0,0,0.047406923
1,1,0.999655
0,0,0.43281743
0,0,6.182745e-06
0,1,0.9610084
0,0,0.00013439514
0,0,0.00071248406
0,0,0.1366612
0,0,0.00010527617
0,0,0.023962326
0,0,0.00012091593
1,1,0.99302304
0,0,7.186976e-07
0,0,0.00081565935
0,0,6.9192583e-06
1,1,0.99014705
0,0,0.0012853378
0,0,4.9666783e-06
0,0,0.00023443672
0,0,9.4991236e-05
0,0,6.636543e-05
0,0,4.791675e-06
0,0,0.00047493013
0,0,0.003203651
0,0,0.0006006342
0,0,3.8605285e-05
0,0,0.005672626
0,0,0.000108056964
0,0,4.4178913e-05
0,0,2.0396003e-06
1,0,0.12597097
1,0,0.402509
0,0,0.0016274469
0,0,3.5662888e-06
0,0,6.762152e-05
0,0,0.00022361647
0,0,8.617566e-06
0,0,8.892759e-06
0,0,0.00012583664
1,0,0.01791258
0,0,6.669286e-05
0,0,0.030041276
0,0,0.0013830054
0,0,0.0010470371
0,0,1.0759235e-05
0,0,2.4239002e-05
0,0,4.8565784e-05
0,0,0.00010049134
0,0,0.35702097
0,1,0.8505313
0,0,0.00033668548
1,0,5.5101467e-05
0,0,0.0047055157
0,0,0.008077114
0,0,1.2598861e-06
1,1,0.9032384
0,0,1.8630273e-06
0,0,3.408196e-06
0,0,0.010707624
0,1,0.78939986
0,0,0.22106355
0,0,2.4978614e-05
0,0,2.1907521e-05
0,0,1.9661827e-06
0,0,0.0020175702
0,0,7.993502e-06
0,0,0.0013039999
0,0,0.0033264537
0,0,9.734339e-05
0,0,0.0001521933
1,0,7.4056894e-05
0,0,0.001190334
0,0,9.323885e-06
0,0,0.027033811
1,1,0.99977034
0,0,2.415999e-06
0,0,0.0018920035
0,0,8.196651e-06
0,0,0.014314642
0,0,3.2838348e-06
0,0,4.0858095e-06
0,0,0.0012962321
0,1,0.9937436
0,0,0.00018444886
0,0,0.0017384381
0,0,0.00013187854
0,0,0.02776801
0,0,0.0020863684
0,0,0.021405
0,0,2.0531605e-05
1,1,0.99735665
0,0,0.00038688298
0,1,0.995805
0,0,3.6765545e-05
0,0,0.00058092136
0,0,0.00066199637
0,0,1.1652215e-05
0,0,2.4337001e-05
0,0,0.182799
0,0,4.71374e-06
1,1,0.9995945
0,0,7.102739e-05
1,0,0.44333228
0,0,0.03887158
0,0,0.11527892
0,0,0.03911824
1,0,0.15914458
0,0,0.056289062
1,1,0.94736314
0,0,1.0931074e-05
0,0,1.2017448e-06
0,0,4.412338e-05
0,0,0.0025736871
0,0,1.5270842e-05
0,0,9.4600895e-05
0,0,0.0021902057
0,0,0.012283245
1,0,0.3868827
0,0,3.756262e-05
1,1,0.9965983
0,0,1.2007665e-06
1,1,0.99785113
1,1,0.88231784
0,0,0.22681862
0,0,3.9406645e-05
0,0,1.3224816e-05
0,0,2.1918262e-05
0,0,2.7482514e-05
1,1,0.9975969
0,0,0.000206632
0,0,0.3733406
0,0,4.016171e-06
0,0,0.0014938142
0,0,0.010100632
0,0,4.111988e-06
0,0,0.00077558245
0,0,3.0300273e-05
